index,Товар,Ссылка,Штрихкод,РодительскяГруппаТоваров,ГруппаТоваров,path,Номер полки
0,Яблоко Прима Руж,https://vkusvill.ru/upload/app_nofoto_small.jpg,9785431516160,Хлеб,Ягоды и овощи айс,00/0.jpg,
303,Фасоль стручковая экстра-тонкая Айс,https://vkusvill.ru/upload/resize/236437/236437_250x250x70.jpg,3083681083279,Айс ВкусВилл,Ягоды и овощи айс,03/303.jpg,
304,Овощи по-деревенски Айс,https://vkusvill.ru/upload/resize/236438/236438_250x250x70.jpg,2100100154820,Айс ВкусВилл,Ягоды и овощи айс,04/304.jpg,
305,Тыква кубиками Айс,https://vkusvill.ru/upload/resize/236439/236439_250x250x70.jpg,2100100155070,Айс ВкусВилл,Ягоды и овощи айс,05/305.jpg,
306,Пюре из маракуйи Айс,https://vkusvill.ru/upload/resize/249510/249510_530x300x85_c.jpg,2100100172725,Айс ВкусВилл,Ягоды и овощи айс,06/306.jpg,
307,Пюре из манго Айс,https://vkusvill.ru/upload/resize/249514/249514_530x300x85_c.jpg,2100100172756,Айс ВкусВилл,Ягоды и овощи айс,07/307.jpg,
308,Пюре клубничное Айс,https://vkusvill.ru/upload/resize/249516/249516_530x300x85_c.jpg,2100100173005,Айс ВкусВилл,Ягоды и овощи айс,08/308.jpg,
517,Горошек зеленый Айс,https://vkusvill.ru/upload/resize/236801/236801_250x250x70.jpg,2100100154868,Айс ВкусВилл,Ягоды и овощи айс,17/517.jpg,
518,Кукуруза Айс,https://vkusvill.ru/upload/resize/236802/236802_250x250x70.jpg,2100100154875,Айс ВкусВилл,Ягоды и овощи айс,18/518.jpg,
519,Калифорнийский микс Айс,https://vkusvill.ru/upload/resize/236803/236803_250x250x70.jpg,2100100154882,Айс ВкусВилл,Ягоды и овощи айс,19/519.jpg,
520,Итальянский микс Айс,https://vkusvill.ru/upload/resize/236804/236804_250x250x70.jpg,2100100154899,Айс ВкусВилл,Ягоды и овощи айс,20/520.jpg,
521,Бельгийский микс на гарнир Айс,https://vkusvill.ru/upload/resize/236805/236805_250x250x70.jpg,2100100154905,Айс ВкусВилл,Ягоды и овощи айс,21/521.jpg,
522,Картофель по-деревенски Айс,https://vkusvill.ru/upload/resize/236806/236806_250x250x70.jpg,2100100155131,Айс ВкусВилл,Ягоды и овощи айс,22/522.jpg,
523,Трио капусты Айс,https://vkusvill.ru/upload/resize/236807/236807_250x250x70.jpg,2100100155049,Айс ВкусВилл,Ягоды и овощи айс,23/523.jpg,
524,Картофель фри Айс,https://vkusvill.ru/upload/resize/236808/236808_250x250x70.jpg,2100100155025,Айс ВкусВилл,Ягоды и овощи айс,24/524.jpg,
525,Капуста брокколи б/з Айс,https://vkusvill.ru/upload/resize/236809/236809_250x250x70.jpg,2100100147051,Айс ВкусВилл,Ягоды и овощи айс,25/525.jpg,
526,Чёрная смородина б/з Айс,https://vkusvill.ru/upload/resize/236810/236810_250x250x70.jpg,2100100146146,Айс ВкусВилл,Ягоды и овощи айс,26/526.jpg,
527,Клубника б/з Айс,https://vkusvill.ru/upload/resize/236811/236811_250x250x70.jpg,2100100146689,Айс ВкусВилл,Ягоды и овощи айс,27/527.jpg,
528,Пюре малиновое Айс,https://vkusvill.ru/upload/resize/249512/249512_530x300x85_c.jpg,2100100172732,Айс ВкусВилл,Ягоды и овощи айс,28/528.jpg,
710,Цукини гриль Айс,https://vkusvill.ru/upload/resize/237172/237172_250x250x70.jpg,3083681084856,Айс ВкусВилл,Ягоды и овощи айс,10/710.jpg,
819,Морковь кубиками Айс,https://vkusvill.ru/upload/resize/237390/237390_250x250x70.jpg,2100100154837,Айс ВкусВилл,Ягоды и овощи айс,19/819.jpg,
820,Лук репчатый (кубиками) Айс,https://vkusvill.ru/upload/resize/237391/237391_250x250x70.jpg,2100100154844,Айс ВкусВилл,Ягоды и овощи айс,20/820.jpg,
821,Морковь мини Айс,https://vkusvill.ru/upload/resize/237392/237392_250x250x70.jpg,2100100155063,Айс ВкусВилл,Ягоды и овощи айс,21/821.jpg,
822,Папайя Айс,https://vkusvill.ru/upload/resize/237393/237393_250x250x70.jpg,2100100154691,Айс ВкусВилл,Ягоды и овощи айс,22/822.jpg,
823,Черника б/з Айс,https://vkusvill.ru/upload/resize/237394/237394_250x250x70.jpg,2100100146719,Айс ВкусВилл,Ягоды и овощи айс,23/823.jpg,
824,Ежевика б/з Айс,https://vkusvill.ru/upload/resize/237396/237396_250x250x70.jpg,2100100146733,Айс ВкусВилл,Ягоды и овощи айс,24/824.jpg,
825,Пюре из черной смородины Айс,https://vkusvill.ru/upload/resize/237397/237397_250x250x70.jpg,2100100172749,Айс ВкусВилл,Ягоды и овощи айс,25/825.jpg,
826,Бобы Эдамаме в стручках Айс,https://vkusvill.ru/upload/resize/237400/237400_250x250x70.jpg,2100100159108,Айс ВкусВилл,Ягоды и овощи айс,26/826.jpg,
1018,Микс болгарского перца гриль Айс,https://vkusvill.ru/upload/resize/237777/237777_250x250x70.jpg,3083681084849,Айс ВкусВилл,Ягоды и овощи айс,18/1018.jpg,
1268,Цветная капуста б/з Айс,https://vkusvill.ru/upload/resize/238303/238303_250x250x70.jpg,2100100146665,Айс ВкусВилл,Ягоды и овощи айс,68/1268.jpg,
1518,Малина б/з Айс,https://vkusvill.ru/upload/resize/238833/238833_250x250x70.jpg,2100100146672,Айс ВкусВилл,Ягоды и овощи айс,18/1518.jpg,
1519,Брусника б/з Айс,https://vkusvill.ru/upload/resize/238834/238834_250x250x70.jpg,2100100146702,Айс ВкусВилл,Ягоды и овощи айс,19/1519.jpg,
1520,Вишня б/з Айс,https://vkusvill.ru/upload/resize/238835/238835_250x250x70.jpg,2100100146740,Айс ВкусВилл,Ягоды и овощи айс,20/1520.jpg,
1780,Ананас Айс,https://vkusvill.ru/upload/resize/239430/239430_250x250x70.jpg,2100100154707,Айс ВкусВилл,Ягоды и овощи айс,80/1780.jpg,
1781,Шампиньоны б/з Айс,https://vkusvill.ru/upload/resize/239431/239431_250x250x70.jpg,2100100146696,Айс ВкусВилл,Ягоды и овощи айс,81/1781.jpg,
3065,Ананас-мини Айс,https://vkusvill.ru/upload/resize/242975/242975_250x250x70.jpg,4603773348018,Айс ВкусВилл,Ягоды и овощи айс,65/3065.jpg,
3081,Китайская смесь Айс,https://vkusvill.ru/upload/resize/243096/243096_250x250x70.jpg,2100100195250,Айс ВкусВилл,Ягоды и овощи айс,81/3081.jpg,
3082,Ревень Айс,https://vkusvill.ru/upload/resize/243097/243097_250x250x70.jpg,2100100195274,Айс ВкусВилл,Ягоды и овощи айс,82/3082.jpg,
3308,Капуста брокколи мини Айс,https://vkusvill.ru/upload/resize/245829/245829_250x250x70.jpg,3083681121797,Айс ВкусВилл,Ягоды и овощи айс,08/3308.jpg,
3377,Манго кусочки очищенное Айс,https://vkusvill.ru/upload/resize/246999/246999_250x250x70.jpg,4603773348001,Айс ВкусВилл,Ягоды и овощи айс,77/3377.jpg,
1,Трусики-подгузники размер XL,https://vkusvill.ru/upload/resize/101331/101331_250x250x70.jpg,2100100101138,Детские товары,Товары для детей,01/1.jpg,9.1
2,Трусики-подгузники размер L,https://vkusvill.ru/upload/resize/101332/101332_250x250x70.jpg,2100100101145,Детские товары,Товары для детей,02/2.jpg,9.1
3,Подгузники размер М,https://vkusvill.ru/upload/resize/101333/101333_250x250x70.jpg,2100100108434,Детские товары,Товары для детей,03/3.jpg,9.1
4,Подгузники размер L,https://vkusvill.ru/upload/resize/101334/101334_250x250x70.jpg,2100100108441,Детские товары,Товары для детей,04/4.jpg,9.1
5,Подгузники размер S,https://vkusvill.ru/upload/resize/101335/101335_250x250x70.jpg,2100100108427,Детские товары,Товары для детей,05/5.jpg,9.1
6,Трусики-подгузники размер XXL,https://vkusvill.ru/upload/resize/101336/101336_250x250x70.jpg,2100100101121,Детские товары,Товары для детей,06/6.jpg,9.1
167,"Настольная игра ""Мягкий знак""",https://vkusvill.ru/upload/resize/223815/223815_250x250x70.jpg,4620764430026,Детские товары,Товары для детей,67/167.jpg,9.1
175,Браслет от комаров со сменным картриджем,https://vkusvill.ru/upload/resize/225662/225662_250x250x70.jpg,4607131426660,Детские товары,Товары для детей,75/175.jpg,9.1
176,Детский спрей от комаров от 3 месяцев,https://vkusvill.ru/upload/resize/225665/225665_250x250x70.jpg,4640016744107,Детские товары,Товары для детей,76/176.jpg,9.1
177,Аэрозоль от клещей и комаров,https://vkusvill.ru/upload/resize/225666/225666_250x250x70.jpg,4607131426653,Детские товары,Товары для детей,77/177.jpg,9.1
548,"Детский набор ""Кит""",https://vkusvill.ru/upload/resize/236858/236858_250x250x70.jpg,2100100133344,Детские товары,Товары для детей,48/548.jpg,9.1
845,Крем гипоаллергенный на основе гамамелиса,https://vkusvill.ru/upload/resize/237441/237441_250x250x70.jpg,2100100142308,Детские товары,Товары для детей,45/845.jpg,9.1
848,"Детский набор ""Божья Коровка""",https://vkusvill.ru/upload/resize/237447/237447_250x250x70.jpg,2100100133351,Детские товары,Товары для детей,48/848.jpg,9.1
849,"Детский поильник ""Кит""",https://vkusvill.ru/upload/resize/237449/237449_250x250x70.jpg,2100100133368,Детские товары,Товары для детей,49/849.jpg,9.1
850,"Детский поильник ""Божья коровка""",https://vkusvill.ru/upload/resize/237450/237450_250x250x70.jpg,2100100133375,Детские товары,Товары для детей,50/850.jpg,9.1
851,"Детский нагрудник ""Кит""",https://vkusvill.ru/upload/resize/237451/237451_250x250x70.jpg,2100100133382,Детские товары,Товары для детей,51/851.jpg,9.1
852,"Детский нагрудник ""Божья коровка""",https://vkusvill.ru/upload/resize/237454/237454_250x250x70.jpg,2100100133399,Детские товары,Товары для детей,52/852.jpg,9.1
1406,Молочко для тела для мам и малышей 0+,https://vkusvill.ru/upload/resize/238600/238600_250x250x70.jpg,2100100129842,Детские товары,Товары для детей,06/1406.jpg,9.1
1950,Одноразовые пеленки 60*60 30 шт,https://vkusvill.ru/upload/resize/239824/239824_250x250x70.jpg,2100100113261,Детские товары,Товары для детей,50/1950.jpg,9.1
2137,Пена детская для купания на основе гамамелиса,https://vkusvill.ru/upload/resize/240244/240244_250x250x70.jpg,2100100143053,Детские товары,Товары для детей,37/2137.jpg,9.1
2282,"Шампунь детский ""Без слез""",https://vkusvill.ru/upload/resize/240628/240628_250x250x70.jpg,2100100048792,Детские товары,Товары для детей,82/2282.jpg,9.1
2283,Крем детский от ветра и мороза,https://vkusvill.ru/upload/resize/240629/240629_250x250x70.jpg,2100100080693,Детские товары,Товары для детей,83/2283.jpg,9.1
2284,Мыло жидкое детское на основе гамамелиса,https://vkusvill.ru/upload/resize/240630/240630_250x250x70.jpg,2100100143060,Детские товары,Товары для детей,84/2284.jpg,9.1
2478,"Влажные салфетки ""Lovular"" 64 шт/уп",https://vkusvill.ru/upload/resize/241064/241064_250x250x70.jpg,5060434290175,Детские товары,Товары для детей,78/2478.jpg,9.1
2483,Средство для мытья детской посуды,https://vkusvill.ru/upload/resize/241070/241070_250x250x70.jpg,2100100113322,Детские товары,Товары для детей,83/2483.jpg,9.1
2627,Мыло детское на отваре череды,https://vkusvill.ru/upload/resize/241409/241409_250x250x70.jpg,2100100069490,Детские товары,Товары для детей,27/2627.jpg,9.1
2628,Соль для ванны детская с чередой 450 г,https://vkusvill.ru/upload/resize/241410/241410_250x250x70.jpg,2100100069605,Детские товары,Товары для детей,28/2628.jpg,9.1
2629,Пенка детская для мытья тела и волос,https://vkusvill.ru/upload/resize/241411/241411_250x250x70.jpg,2100100100377,Детские товары,Товары для детей,29/2629.jpg,9.1
2903,Мыло жидкое детское,https://vkusvill.ru/upload/resize/242070/242070_250x250x70.jpg,2100100106836,Детские товары,Товары для детей,03/2903.jpg,9.1
2906,Кондиционер для детского белья,https://vkusvill.ru/upload/resize/242074/242074_250x250x70.jpg,2100100084530,Детские товары,Товары для детей,06/2906.jpg,9.1
3654,"Настольная игра ""Homo Sapliens""",https://vkusvill.ru/upload/resize/93524/93524_250x250x70.jpg,4620764430088,Детские товары,Товары для детей,54/3654.jpg,9.1
3729,Порошок стиральный детский 450 г,https://vkusvill.ru/upload/resize/94082/94082_250x250x70.jpg,2100100112547,Детские товары,Товары для детей,29/3729.jpg,9.1
3762,Влажные салфетки детские кремовые 50 шт,https://vkusvill.ru/upload/resize/94302/94302_250x250x70.jpg,2100100086879,Детские товары,Товары для детей,62/3762.jpg,9.1
3897,"Подгузники L ""Lovular hot Wind""",https://vkusvill.ru/upload/resize/95188/95188_250x250x70.jpg,5060434290113,Детские товары,Товары для детей,97/3897.jpg,9.1
3904,Ватные палочки детские 50 шт,https://vkusvill.ru/upload/resize/95221/95221_250x250x70.jpg,2100100103224,Детские товары,Товары для детей,04/3904.jpg,9.1
3918,"Подгузники S ""Lovular hot Wind""",https://vkusvill.ru/upload/resize/95306/95306_250x250x70.jpg,5060434290090,Детские товары,Товары для детей,18/3918.jpg,9.1
3919,"Подгузники M ""Lovular hot Wind""",https://vkusvill.ru/upload/resize/95307/95307_250x250x70.jpg,5060434290106,Детские товары,Товары для детей,19/3919.jpg,9.1
3948,"Паста зубная детская ""Клубника""",https://vkusvill.ru/upload/resize/95498/95498_250x250x70.jpg,2100100052126,Детские товары,Товары для детей,48/3948.jpg,9.1
3997,"Средство для стирки детского белья, 1 л",https://vkusvill.ru/upload/resize/95768/95768_250x250x70.jpg,2100100062934,Детские товары,Товары для детей,97/3997.jpg,9.1
4091,"Подгузники М (6-11кг) ""Genki""",https://vkusvill.ru/upload/resize/96348/96348_250x250x70.jpg,4901121522647,Детские товары,Товары для детей,91/4091.jpg,9.1
4092,"Подгузники L (9-14кг) ""Genki""",https://vkusvill.ru/upload/resize/96349/96349_250x250x70.jpg,4901121512648,Детские товары,Товары для детей,92/4092.jpg,9.1
4131,Крем детский питательный,https://vkusvill.ru/upload/resize/96540/96540_250x250x70.jpg,2100100034672,Детские товары,Товары для детей,31/4131.jpg,9.1
7,"Инжир, 250 г",https://vkusvill.ru/upload/resize/101679/101679_250x250x70.jpg,2100100200633,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,07/7.jpg,"2,  3,   4"
18,"Инжир желтый, шт",https://vkusvill.ru/upload/resize/106856/106856_250x250x70.jpg,2100100197681,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,18/18.jpg,"2,  3,   4"
20,Виноград Кишмиш розовый,https://vkusvill.ru/upload/resize/112355/112355_250x250x70.jpg,3016883,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,20/20.jpg,"2,  3,   4"
27,Груша Санта Мария,https://vkusvill.ru/upload/resize/120152/120152_250x250x70.jpg,3016793,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,27/27.jpg,"2,  3,   4"
30,"Кокос очищенный, шт",https://vkusvill.ru/upload/resize/121317/121317_250x250x70.jpg,2100100137571,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,30/30.jpg,"2,  3,   4"
44,Персик крупный,https://vkusvill.ru/upload/resize/124273/124273_250x250x70.jpg,3016504,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,44/44.jpg,"2,  3,   4"
48,Гранат Азербайджан,https://vkusvill.ru/upload/resize/127178/127178_250x250x70.jpg,3016795,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,48/48.jpg,"2,  3,   4"
57,Слива,https://vkusvill.ru/upload/resize/13374/13374_250x250x70.jpg,3016618,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,57/57.jpg,"2,  3,   4"
59,Хурма Королёк,https://vkusvill.ru/upload/resize/14265/14265_250x250x70.jpg,3016884,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,59/59.jpg,"2,  3,   4"
66,Хурма Персимон,https://vkusvill.ru/upload/resize/14925/14925_250x250x70.jpg,3013521,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,66/66.jpg,"2,  3,   4"
67,Яблоко Слава победителям,https://vkusvill.ru/upload/resize/15065/15065_250x250x70.jpg,3016719,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,67/67.jpg,"2,  3,   4"
68,Хурма Ромашка,https://vkusvill.ru/upload/resize/15175/15175_250x250x70.jpg,3016897,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,68/68.jpg,"2,  3,   4"
236,Абрикос Узбекистан,https://vkusvill.ru/upload/resize/233330/233330_250x250x70.jpg,3016649,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,36/236.jpg,"2,  3,   4"
258,Яблоко Мельба,https://vkusvill.ru/upload/resize/235896/235896_250x250x70.jpg,3016634,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,58/258.jpg,"2,  3,   4"
266,Арбуз мини бессемянный Крым,https://vkusvill.ru/upload/resize/236304/236304_250x250x70.jpg,3016710,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,66/266.jpg,"2,  3,   4"
380,"Авокадо крупное, шт",https://vkusvill.ru/upload/resize/236578/236578_250x250x70.jpg,2100100198596,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,80/380.jpg,"2,  3,   4"
381,Персики Армения,https://vkusvill.ru/upload/resize/236580/236580_250x250x70.jpg,3016751,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,81/381.jpg,"2,  3,   4"
382,Гранат Узбекистан,https://vkusvill.ru/upload/resize/236581/236581_250x250x70.jpg,3015758,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,82/382.jpg,"2,  3,   4"
383,"Инжир Грузия, 150 г",https://vkusvill.ru/upload/resize/236582/236582_250x250x70.jpg,2100100133429,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,83/383.jpg,"2,  3,   4"
651,Яблоко Орловское,https://vkusvill.ru/upload/resize/237090/237090_250x250x70.jpg,3016612,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,51/651.jpg,"2,  3,   4"
652,Арбуз желтый бессемянный,https://vkusvill.ru/upload/resize/237093/237093_250x250x70.jpg,3016711,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,52/652.jpg,"2,  3,   4"
653,Слива крупная,https://vkusvill.ru/upload/resize/237095/237095_250x250x70.jpg,3016802,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,53/653.jpg,"2,  3,   4"
654,Виноград Кардинал Крым,https://vkusvill.ru/upload/resize/237096/237096_250x250x70.jpg,3016658,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,54/654.jpg,"2,  3,   4"
967,Алыча,https://vkusvill.ru/upload/resize/237690/237690_250x250x70.jpg,3016548,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,67/967.jpg,"2,  3,   4"
968,Нектарин крупный,https://vkusvill.ru/upload/resize/237692/237692_250x250x70.jpg,3016520,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,68/968.jpg,"2,  3,   4"
969,Яблоко Строевское,https://vkusvill.ru/upload/resize/237695/237695_250x250x70.jpg,3016807,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,69/969.jpg,"2,  3,   4"
970,"Абрикос крупный, шт",https://vkusvill.ru/upload/resize/237700/237700_250x250x70.jpg,2100100198060,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,70/970.jpg,"2,  3,   4"
971,Дыня Гуляби,https://vkusvill.ru/upload/resize/237701/237701_250x250x70.jpg,3014460,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,71/971.jpg,"2,  3,   4"
1089,Ананас медовый,https://vkusvill.ru/upload/resize/237917/237917_250x250x70.jpg,3016165,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,89/1089.jpg,"2,  3,   4"
1244,Виноград Аркадия Крым,https://vkusvill.ru/upload/resize/238257/238257_250x250x70.jpg,3016629,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,44/1244.jpg,"2,  3,   4"
1245,Груша ранняя,https://vkusvill.ru/upload/resize/238261/238261_250x250x70.jpg,3016624,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,45/1245.jpg,"2,  3,   4"
1246,Яблоко Антоновка,https://vkusvill.ru/upload/resize/238262/238262_250x250x70.jpg,3016657,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,46/1246.jpg,"2,  3,   4"
1482,Нектарин Грузия,https://vkusvill.ru/upload/resize/238760/238760_250x250x70.jpg,3016521,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,82/1482.jpg,"2,  3,   4"
1483,Клубника,https://vkusvill.ru/upload/resize/238761/238761_250x250x70.jpg,3014446,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,83/1483.jpg,"2,  3,   4"
1484,Виноград Преображение Крым,https://vkusvill.ru/upload/resize/238777/238777_250x250x70.jpg,3016628,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,84/1484.jpg,"2,  3,   4"
1485,Слива Крым,https://vkusvill.ru/upload/resize/238778/238778_250x250x70.jpg,3016867,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,85/1485.jpg,"2,  3,   4"
1486,Нектарин плоский,https://vkusvill.ru/upload/resize/238781/238781_250x250x70.jpg,3016501,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,86/1486.jpg,"2,  3,   4"
1487,Виноград Юпитер Крым,https://vkusvill.ru/upload/resize/238783/238783_250x250x70.jpg,3016627,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,87/1487.jpg,"2,  3,   4"
1488,"Клубника, 250 г",https://vkusvill.ru/upload/resize/238784/238784_250x250x70.jpg,2100100215941,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,88/1488.jpg,"2,  3,   4"
1491,"Папайя, шт",https://vkusvill.ru/upload/resize/238791/238791_250x250x70.jpg,2100100153267,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,91/1491.jpg,"2,  3,   4"
1750,Яблоко садовое,https://vkusvill.ru/upload/resize/239368/239368_250x250x70.jpg,3015710,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,50/1750.jpg,"2,  3,   4"
1752,Грейпфрут белый,https://vkusvill.ru/upload/resize/239376/239376_250x250x70.jpg,3016800,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,52/1752.jpg,"2,  3,   4"
1753,Персик,https://vkusvill.ru/upload/resize/239377/239377_250x250x70.jpg,3016619,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,53/1753.jpg,"2,  3,   4"
1754,Арбуз желтый Крым,https://vkusvill.ru/upload/resize/239379/239379_250x250x70.jpg,3016680,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,54/1754.jpg,"2,  3,   4"
2013,Апельсин Навелин,https://vkusvill.ru/upload/resize/239980/239980_250x250x70.jpg,3015977,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,13/2013.jpg,"2,  3,   4"
2014,Арбуз желтый,https://vkusvill.ru/upload/resize/239981/239981_250x250x70.jpg,3014827,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,14/2014.jpg,"2,  3,   4"
2015,"Киви фасованное, 900 г",https://vkusvill.ru/upload/resize/239983/239983_250x250x70.jpg,2100100113124,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,15/2015.jpg,"2,  3,   4"
2016,"Авокадо гигант, шт",https://vkusvill.ru/upload/resize/239986/239986_250x250x70.jpg,2100100198602,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,16/2016.jpg,"2,  3,   4"
2017,Апельсин крупный,https://vkusvill.ru/upload/resize/239987/239987_250x250x70.jpg,3015976,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,17/2017.jpg,"2,  3,   4"
2018,"Брусника, 250 г",https://vkusvill.ru/upload/resize/239988/239988_250x250x70.jpg,2100100209452,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,18/2018.jpg,"2,  3,   4"
2019,"Авокадо Хасс, 2 шт",https://vkusvill.ru/upload/resize/239990/239990_250x250x70.jpg,2100100214630,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,19/2019.jpg,"2,  3,   4"
2170,"Авокадо Хасс, шт",https://vkusvill.ru/upload/resize/240323/240323_250x250x70.jpg,2100100214623,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,70/2170.jpg,"2,  3,   4"
2171,Слива Краснодар,https://vkusvill.ru/upload/resize/240326/240326_250x250x70.jpg,3016759,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,71/2171.jpg,"2,  3,   4"
2173,"Кокос, шт",https://vkusvill.ru/upload/resize/240331/240331_250x250x70.jpg,2100100150006,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,73/2173.jpg,"2,  3,   4"
2338,Яблоко Прикубанское,https://vkusvill.ru/upload/resize/240752/240752_250x250x70.jpg,3015556,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,38/2338.jpg,"2,  3,   4"
2339,"Инжир, шт",https://vkusvill.ru/upload/resize/240753/240753_250x250x70.jpg,2100100213367,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,39/2339.jpg,"2,  3,   4"
2340,"Голубика, 250 г",https://vkusvill.ru/upload/resize/240754/240754_250x250x70.jpg,2100100147778,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,40/2340.jpg,"2,  3,   4"
2341,Мандарин Перу,https://vkusvill.ru/upload/resize/240756/240756_250x250x70.jpg,3016757,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,41/2341.jpg,"2,  3,   4"
2342,Яблоко Богатырь,https://vkusvill.ru/upload/resize/240760/240760_250x250x70.jpg,3015555,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,42/2342.jpg,"2,  3,   4"
2343,"Мандарин ""Новый урожай""",https://vkusvill.ru/upload/resize/240761/240761_250x250x70.jpg,3016153,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,43/2343.jpg,"2,  3,   4"
2344,"Лайм, 200 г",https://vkusvill.ru/upload/resize/240762/240762_250x250x70.jpg,2100100211028,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,44/2344.jpg,"2,  3,   4"
2345,"Виноград Кишмиш, без косточки",https://vkusvill.ru/upload/resize/240765/240765_250x250x70.jpg,3016794,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,45/2345.jpg,"2,  3,   4"
2346,Манго Израиль,https://vkusvill.ru/upload/resize/240770/240770_250x250x70.jpg,3016560,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,46/2346.jpg,"2,  3,   4"
2525,Арбуз Черный принц,https://vkusvill.ru/upload/resize/241194/241194_250x250x70.jpg,3016604,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,25/2525.jpg,"2,  3,   4"
2526,"Киви Голд, 2 шт",https://vkusvill.ru/upload/resize/241195/241195_250x250x70.jpg,2100100212117,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,26/2526.jpg,"2,  3,   4"
2527,"Голубика, 500 г",https://vkusvill.ru/upload/resize/241196/241196_250x250x70.jpg,2100100205683,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,27/2527.jpg,"2,  3,   4"
2528,Яблоко Гала,https://vkusvill.ru/upload/resize/241197/241197_250x250x70.jpg,3016845,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,28/2528.jpg,"2,  3,   4"
2529,"Киви Голд, шт",https://vkusvill.ru/upload/resize/241199/241199_250x250x70.jpg,2100100215675,Овощи. Фрукты. Грибы. Зелень,Фрукты. Ягоды,29/2529.jpg,"2,  3,   4"
